surgir,arise,arose,arisen
golpear,beat,beat,beaten
convertirse,become,became,become
comenzar,begin,began,begun
morder,bite,bit,bitten
sangrar,bleed,bled,bled
soplar,blow,blew,blown
romper,break,broke,broken
traer,bring,brought,brought
construir,build,built,built
comprar,buy,bought,bought
atrapar,catch,caught,caught
elegir,choose,chose,chosen
venir,come,came,come
costar,cost,cost,cost
arrastrarse,creep,crept,crept
cortar,cut,cut,cut
repartir,deal,dealt,dealt
hacer,do,did,done
dibujar,draw,drew,drawn
beber,drink,drank,drunk
conducir,drive,drove,driven
comer,eat,ate,eaten
caer,fall,fell,fallen
alimentar,feed,fed,fed
sentir,feel,felt,felt
pelear,fight,fought,fought
encontrar,find,found,found
huir,flee,fled,fled
volar,fly,flew,flown
olvidar,forget,forgot,forgotten
perdonar,forgive,forgave,forgiven
abandonar,forsake,forsook,forsaken
congelar,freeze,froze,frozen
obtener,get,got,got
dar,give,gave,given
ir,go,went,gone
moler,grind,ground,ground
crecer,grow,grew,grown
colgar,hang,hung,hung
tener,have,had,had
oír,hear,heard,heard
esconderse,hide,hid,hidden
golpear,hit,hit,hit
mantener,hold,held,held
herir,hurt,hurt,hurt
guardar,keep,kept,kept
arrodillarse,kneel,knelt,knelt
saber,know,knew,known
encabezar,lead,led,led
dejar,leave,left,left
prestar,lend,lent,lent
dejar,let,let,let
yacer,lie,lay,lain
perder,lose,lost,lost
hacer,make,made,made
significar,mean,meant,meant
conocer,meet,met,met
pagar,pay,paid,paid
poner,put,put,put
leer,read,read,read
montar,ride,rode,ridden
llamar por teléfono,ring,rang,rung
elevar,rise,rose,risen
correr,run,ran,run
decir,say,said,said
ver,see,saw,seen
vender,sell,sold,sold
enviar,send,sent,sent
fijar,set,set,set
sacudir,shake,shook,shaken
brillar,shine,shone,shone
disparar,shoot,shot,shot
cerrar,shut,shut,shut
cantar,sing,sang,sung
hundir,sink,sank,sunk
sentarse,sit,sat,sat
dormir,sleep,slept,slept
deslizar,slide,slid,slid
hablar,speak,spoke,spoken
gastar,spend,spent,spent
partir,split,split,split
extenderse,spread,spread,spread
estar de pie,stand,stood,stood
robar,steal,stole,stolen
picar,sting,stung,stung
golpear,strike,struck,struck
jurar,swear,swore,sworn
barrer,sweep,swept,swept
nadar,swim,swam,swum
tomar,take,took,taken
enseñar,teach,taught,taught
romper,tear,tore,torn
decir,tell,told,told
pensar,think,thought,thought
lanzar,throw,threw,thrown
entender,understand,understood,understood
despertarse,wake,woke,woken
llevar puesto,wear,wore,worn
tejer,weave,wove,woven
llorar,weep,wept,wept
ganar,win,won,won
retorcer,wring,wrung,wrung
escribir,write,wrote,written
